epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,27.316,1.88971,0.98926,0.92402,0.54386,0.77778,0.54278,0.22794,1.81233,2.17621,0.94206,0.0006944,0.0006944,0.0006944
42,27.9298,1.92398,0.98092,0.93298,0.4922,0.65079,0.46584,0.18245,1.85945,2.1922,0.95148,0.000709054,0.000709054,0.000709054
43,28.5349,1.84103,0.95296,0.92495,0.57257,0.52097,0.48307,0.18932,1.86761,2.17782,0.95101,0.000723576,0.000723576,0.000723576
44,29.1589,1.81447,0.93747,0.92667,0.87431,0.44169,0.76155,0.3261,1.78599,2.08465,0.93727,0.000737966,0.000737966,0.000737966
45,29.7758,1.79391,0.92941,0.93717,0.97774,0.34868,0.85851,0.38807,1.76336,2.00298,0.9266,0.000752224,0.000752224,0.000752224
46,30.4196,1.91071,0.94056,0.9298,0.93258,0.32938,0.84076,0.35344,1.76817,2.00858,0.92938,0.00076635,0.00076635,0.00076635
47,31.0399,1.86051,0.93755,0.9336,0.93737,0.35638,0.82097,0.32964,1.77839,2.03436,0.92672,0.000780344,0.000780344,0.000780344
48,31.6806,1.87785,0.96523,0.93344,0.94754,0.28675,0.82131,0.36247,1.75043,2.01871,0.91379,0.000794206,0.000794206,0.000794206
49,32.3269,1.81454,0.94503,0.91882,0.95354,0.32578,0.83932,0.375,1.76869,1.96123,0.91055,0.000807936,0.000807936,0.000807936
50,32.9527,1.87186,0.92824,0.92244,0.95702,0.35345,0.84021,0.37856,1.76485,1.91556,0.91243,0.000821534,0.000821534,0.000821534
51,33.5591,1.80873,0.89818,0.91313,0.93657,0.46878,0.87251,0.37998,1.74961,1.89689,0.91804,0.000835,0.000835,0.000835
52,34.1644,1.80204,0.89679,0.90719,0.95363,0.4897,0.89057,0.38344,1.72746,1.87613,0.91878,0.000848334,0.000848334,0.000848334
53,34.8096,1.84407,0.92836,0.92267,0.95149,0.46704,0.87011,0.38704,1.71977,1.86395,0.91315,0.000861536,0.000861536,0.000861536
54,35.442,1.82825,0.914,0.91713,0.92958,0.4191,0.84587,0.36262,1.76647,1.89284,0.91659,0.000874606,0.000874606,0.000874606
55,36.054,1.85654,0.91838,0.92451,0.94798,0.4339,0.85168,0.37995,1.73827,1.97877,0.91186,0.000887544,0.000887544,0.000887544
56,36.6632,1.7345,0.88395,0.90501,0.9573,0.53377,0.87037,0.38981,1.74677,2.02917,0.91415,0.00090035,0.00090035,0.00090035
57,37.2896,1.80875,0.90264,0.91575,0.97088,0.52919,0.89388,0.38993,1.75521,2.00228,0.9154,0.000913024,0.000913024,0.000913024
58,37.9141,1.79717,0.88462,0.90781,0.96381,0.42277,0.88144,0.40199,1.74131,1.9292,0.91759,0.000925566,0.000925566,0.000925566
59,38.5531,1.78035,0.89207,0.91185,0.98461,0.50789,0.92537,0.44574,1.7083,1.82651,0.91386,0.000937976,0.000937976,0.000937976
60,39.1706,1.81211,0.8925,0.92538,0.95942,0.56289,0.9398,0.46173,1.68747,1.76024,0.90917,0.000950254,0.000950254,0.000950254
61,39.7875,1.84852,0.8889,0.90437,0.96295,0.61881,0.9416,0.45429,1.69186,1.75711,0.91321,0.0009624,0.0009624,0.0009624
62,40.3868,1.85866,0.89067,0.91436,0.97386,0.5915,0.91971,0.38721,1.82736,1.8348,0.93467,0.000974414,0.000974414,0.000974414
63,40.9677,1.85767,0.93448,0.92646,0.97119,0.53519,0.9036,0.3617,1.93302,1.92694,0.94346,0.000986296,0.000986296,0.000986296
64,41.5658,1.77661,0.87971,0.91291,0.9836,0.47599,0.94177,0.41408,1.79691,1.90177,0.92111,0.000998046,0.000998046,0.000998046
65,42.2238,1.7908,0.85295,0.92102,0.98584,0.55242,0.95007,0.43838,1.74897,1.82471,0.92069,0.00100966,0.00100966,0.00100966
66,42.8262,1.9308,0.90281,0.91752,0.96083,0.58403,0.89476,0.39204,1.87511,1.83871,0.9445,0.00102115,0.00102115,0.00102115
67,43.4335,1.7873,0.87267,0.90559,0.89692,0.55249,0.84401,0.34932,1.92356,1.83693,0.95795,0.0010325,0.0010325,0.0010325
68,44.0419,1.82024,0.88877,0.91085,0.87742,0.62491,0.86537,0.38441,1.8669,1.76845,0.94987,0.00104373,0.00104373,0.00104373
69,44.6498,1.80675,0.88543,0.91924,0.92451,0.68038,0.9291,0.45319,1.67353,1.68261,0.9149,0.00105482,0.00105482,0.00105482
70,45.2825,1.79296,0.85447,0.90443,0.93241,0.65688,0.94155,0.45443,1.63518,1.64369,0.90384,0.00106577,0.00106577,0.00106577
71,45.9032,1.85863,0.88303,0.90874,0.92026,0.6746,0.92947,0.44898,1.66283,1.62858,0.91222,0.0010766,0.0010766,0.0010766
72,46.5016,1.75618,0.86818,0.90131,0.93575,0.69353,0.93697,0.44658,1.65494,1.63458,0.91251,0.00108729,0.00108729,0.00108729
73,47.1489,1.76641,0.87312,0.90744,0.92521,0.68726,0.93415,0.45478,1.65773,1.63114,0.91328,0.00109786,0.00109786,0.00109786
74,47.7621,1.72813,0.8306,0.9025,0.91616,0.78051,0.94328,0.45239,1.67252,1.51254,0.90503,0.00110829,0.00110829,0.00110829
75,48.3897,1.82274,0.86475,0.91203,0.93625,0.81587,0.941,0.45201,1.6827,1.44386,0.9052,0.00111858,0.00111858,0.00111858
76,49.0114,1.80542,0.85742,0.91801,0.93658,0.82045,0.93766,0.46498,1.65822,1.41969,0.90496,0.00112875,0.00112875,0.00112875
