epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,90.7034,1.72342,0.76151,0.9033,0.14808,0.52381,0.10515,0.05453,1.78902,14.7833,0.94241,0.0006944,0.0006944,0.0006944
42,92.9427,1.73831,0.78233,0.90754,0.12131,0.42063,0.08826,0.0424,1.89947,13.4777,0.97493,0.000709054,0.000709054,0.000709054
43,95.6777,1.63049,0.72562,0.893,0.06221,0.45238,0.05198,0.02019,2.21035,24.9117,1.05297,0.000723576,0.000723576,0.000723576
44,97.9379,1.64043,0.72954,0.90081,0.01326,0.30159,0.00868,0.00256,3.17457,80.3222,1.39186,0.000737966,0.000737966,0.000737966
45,100.219,1.60135,0.74057,0.90518,0.00476,0.12698,0.00267,0.00075,4.10469,209.853,2.02349,0.000752224,0.000752224,0.000752224
46,102.455,1.71528,0.73097,0.89961,0.00387,0.10317,0.0019,0.0006,3.86466,294.504,2.0803,0.00076635,0.00076635,0.00076635
47,104.713,1.6373,0.70834,0.90338,0.01346,0.30159,0.00815,0.00272,3.07469,83.8334,1.48699,0.000780344,0.000780344,0.000780344
48,106.938,1.67181,0.72452,0.90324,0.2029,0.33333,0.12303,0.04386,2.44789,3.959,1.10682,0.000794206,0.000794206,0.000794206
49,109.202,1.62561,0.71406,0.89301,0.4308,0.57667,0.36292,0.14043,2.14459,2.60781,1.00872,0.000807936,0.000807936,0.000807936
50,111.436,1.74091,0.7473,0.90091,0.64902,0.65079,0.57373,0.2405,1.84366,1.91953,0.96173,0.000821534,0.000821534,0.000821534
51,113.652,1.68222,0.75394,0.89012,0.78613,0.68254,0.74737,0.2931,1.99376,1.33299,0.99021,0.000835,0.000835,0.000835
52,115.88,1.644,0.7471,0.88467,0.73209,0.77778,0.72341,0.28812,2.01413,1.29486,0.98917,0.000848334,0.000848334,0.000848334
53,118.165,1.71171,0.74985,0.90333,0.76925,0.80159,0.78749,0.34584,1.84416,1.28153,0.94077,0.000861536,0.000861536,0.000861536
54,120.389,1.62748,0.72534,0.88949,0.80433,0.783,0.82489,0.38277,1.80287,1.33883,0.92719,0.000874606,0.000874606,0.000874606
55,122.692,1.71716,0.71698,0.90287,0.87364,0.81746,0.84712,0.38519,1.7496,1.3476,0.91845,0.000887544,0.000887544,0.000887544
56,124.938,1.63728,0.72268,0.89327,0.82625,0.88889,0.88395,0.38712,1.74758,1.38647,0.9134,0.00090035,0.00090035,0.00090035
57,127.226,1.65796,0.71296,0.89013,0.85875,0.9127,0.89589,0.38803,1.75883,1.46873,0.90914,0.000913024,0.000913024,0.000913024
58,129.527,1.60694,0.7043,0.88285,0.71916,0.8254,0.80495,0.35374,1.77205,1.61369,0.92819,0.000925566,0.000925566,0.000925566
59,131.76,1.68307,0.72064,0.89647,0.43911,0.7619,0.54925,0.246,1.72254,2.78534,0.92514,0.000937976,0.000937976,0.000937976
60,134.021,1.6352,0.74987,0.89492,0.48505,0.68254,0.58733,0.24503,1.80688,2.36701,0.93236,0.000950254,0.000950254,0.000950254
61,136.237,1.78814,0.77956,0.89705,0.66264,0.79365,0.71902,0.29124,1.83086,1.61361,0.93457,0.0009624,0.0009624,0.0009624
62,138.494,1.71639,0.77315,0.89521,0.70755,0.73016,0.69397,0.28583,1.84926,1.64107,0.95123,0.000974414,0.000974414,0.000974414
63,140.705,1.66154,0.74497,0.90492,0.71387,0.69305,0.72504,0.29113,1.91123,1.34629,0.95896,0.000986296,0.000986296,0.000986296
64,142.952,1.61941,0.7526,0.89154,0.75525,0.87302,0.80314,0.37141,1.75107,1.21262,0.92118,0.000998046,0.000998046,0.000998046
65,145.206,1.58206,0.69308,0.8941,0.87362,0.88889,0.87965,0.41105,1.70524,1.20403,0.9206,0.00100966,0.00100966,0.00100966
66,147.411,1.68869,0.77378,0.88345,0.81734,0.85233,0.82441,0.35127,1.82652,1.30362,0.94892,0.00102115,0.00102115,0.00102115
67,149.69,1.63086,0.72126,0.88746,0.58364,0.63413,0.5497,0.17726,2.29688,1.47883,1.02874,0.0010325,0.0010325,0.0010325
68,151.915,1.69401,0.77009,0.8927,0.4889,0.38889,0.32504,0.08504,2.80565,1.74872,1.13445,0.00104373,0.00104373,0.00104373
69,154.141,1.63115,0.73519,0.89517,0.5929,0.5086,0.48576,0.15258,2.59304,1.65167,1.07758,0.00105482,0.00105482,0.00105482
70,156.42,1.60466,0.71716,0.87929,0.83813,0.78079,0.82541,0.33196,1.99296,1.1502,0.95486,0.00106577,0.00106577,0.00106577
71,158.674,1.60453,0.73636,0.87659,0.86679,0.90476,0.92855,0.42361,1.73996,0.96586,0.92102,0.0010766,0.0010766,0.0010766
72,160.927,1.57321,0.69862,0.87759,0.88836,0.94732,0.94256,0.40105,1.83008,1.02906,0.92949,0.00108729,0.00108729,0.00108729
73,163.194,1.5658,0.70727,0.88264,0.8378,0.94286,0.89477,0.39667,1.83326,1.27533,0.95572,0.00109786,0.00109786,0.00109786
74,165.451,1.57392,0.68726,0.88065,0.83157,0.93651,0.89968,0.43867,1.72245,1.44202,0.94327,0.00110829,0.00110829,0.00110829
75,168.027,1.61236,0.78034,0.88472,0.90105,0.93951,0.91405,0.45444,1.70136,1.20047,0.90576,0.00111858,0.00111858,0.00111858
76,170.496,1.59676,0.68449,0.8911,0.9428,0.93651,0.94713,0.48921,1.69369,0.87718,0.89955,0.00112875,0.00112875,0.00112875
77,173.05,1.59495,0.72703,0.87392,0.90419,0.92857,0.92633,0.43585,1.77323,0.92302,0.91869,0.00113878,0.00113878,0.00113878
78,175.279,1.57828,0.73627,0.88621,0.9275,0.92063,0.95387,0.44733,1.72417,1.02103,0.90662,0.00114869,0.00114869,0.00114869
79,177.541,1.61409,0.68512,0.88362,0.94548,0.96339,0.97371,0.49633,1.66036,1.2288,0.89713,0.00115846,0.00115846,0.00115846
80,180.051,1.58581,0.71219,0.87759,0.94273,0.97619,0.97585,0.49833,1.69182,1.21677,0.91003,0.00116809,0.00116809,0.00116809
81,182.533,1.52433,0.67236,0.87999,0.9384,0.98413,0.96989,0.50396,1.66213,1.22372,0.89774,0.0011776,0.0011776,0.0011776
82,185.105,1.54954,0.66665,0.88735,0.93156,0.97619,0.97095,0.49964,1.65986,1.12535,0.90559,0.00118697,0.00118697,0.00118697
83,187.391,1.53459,0.66729,0.89808,0.96015,0.9562,0.96818,0.51435,1.6721,1.11944,0.90486,0.00119622,0.00119622,0.00119622
84,189.931,1.57431,0.68505,0.8796,0.94125,0.93651,0.96439,0.51243,1.66152,1.13931,0.90651,0.00120533,0.00120533,0.00120533
85,192.151,1.56337,0.68614,0.88158,0.87866,0.90476,0.94161,0.46605,1.68393,1.24972,0.91208,0.0012143,0.0012143,0.0012143
86,194.402,1.62612,0.70444,0.88683,0.90448,0.90186,0.93544,0.47401,1.65942,1.07302,0.90053,0.00122315,0.00122315,0.00122315
87,196.645,1.53302,0.66282,0.87742,0.92972,0.87302,0.93636,0.49535,1.69373,1.01617,0.90506,0.00123186,0.00123186,0.00123186
88,198.898,1.57582,0.67598,0.87533,0.91218,0.9068,0.94342,0.47842,1.70744,1.0217,0.91594,0.00124045,0.00124045,0.00124045
89,201.172,1.64623,0.69983,0.89937,0.92475,0.9127,0.95897,0.47568,1.67294,1.25423,0.91091,0.0012489,0.0012489,0.0012489
90,203.425,1.59076,0.68506,0.88654,0.92113,0.9269,0.95237,0.44007,1.79244,1.38717,0.93479,0.00125721,0.00125721,0.00125721
91,205.663,1.64537,0.69429,0.90042,0.15364,0.88095,0.15054,0.07228,1.82247,15.6195,0.9983,0.0012654,0.0012654,0.0012654
92,207.932,1.56168,0.67233,0.88712,0.80588,0.85714,0.83802,0.37628,1.75673,1.9298,0.92597,0.00127345,0.00127345,0.00127345
93,210.162,1.73381,0.70893,0.90535,0.88174,0.94681,0.9362,0.41421,1.78374,1.14386,0.92883,0.00128138,0.00128138,0.00128138
94,212.396,1.79516,0.75974,0.92137,0.82392,0.93651,0.89801,0.40662,1.77085,1.18492,0.92999,0.00128917,0.00128917,0.00128917
95,214.615,1.65394,0.71973,0.90108,0.87871,0.83333,0.89485,0.38234,1.83238,1.17043,0.94048,0.00129682,0.00129682,0.00129682
96,216.889,1.79484,0.75059,0.89927,0.75245,0.89683,0.72217,0.32317,1.83071,1.38276,0.94083,0.00130435,0.00130435,0.00130435
97,219.099,1.66116,0.72434,0.89301,0.82192,0.79365,0.81255,0.30211,2.14258,0.98588,0.98492,0.00131174,0.00131174,0.00131174
98,221.371,1.58938,0.69477,0.88534,0.6366,0.52834,0.50059,0.12612,2.81698,1.38013,1.13459,0.00131901,0.00131901,0.00131901
99,223.673,1.67381,0.76359,0.88661,0.53204,0.45238,0.4241,0.1041,2.95914,1.50162,1.17833,0.00132614,0.00132614,0.00132614
100,225.882,1.61099,0.69936,0.89077,0.39796,0.42857,0.29192,0.08656,2.81146,1.83341,1.19416,0.00133313,0.00133313,0.00133313
101,228.096,1.56752,0.68321,0.89809,0.67787,0.53175,0.5245,0.18841,2.39791,1.34297,1.06855,0.00134,0.00134,0.00134
102,230.445,1.51011,0.66867,0.89063,0.81667,0.70707,0.73754,0.27518,2.16596,1.13021,0.99979,0.0013334,0.0013334,0.0013334
103,232.682,1.57014,0.68282,0.88858,0.88016,0.78571,0.8237,0.34655,1.94185,1.08546,0.95577,0.0013268,0.0013268,0.0013268
104,234.902,1.54113,0.67941,0.89117,0.88065,0.81985,0.87699,0.41151,1.89501,0.99943,0.96058,0.0013202,0.0013202,0.0013202
105,237.163,1.54959,0.67148,0.89169,0.88697,0.9127,0.92434,0.44274,1.78453,0.88343,0.9479,0.0013136,0.0013136,0.0013136
106,239.407,1.528,0.65824,0.88347,0.79132,0.9127,0.89671,0.39834,1.89628,0.92605,0.9595,0.001307,0.001307,0.001307
107,241.656,1.61966,0.68456,0.89228,0.76721,0.91551,0.87577,0.39428,1.86452,0.91838,0.95231,0.0013004,0.0013004,0.0013004
108,243.84,1.59901,0.67258,0.8834,0.85285,0.91999,0.90185,0.43841,1.7288,0.87384,0.91696,0.0012938,0.0012938,0.0012938
109,246.088,1.58409,0.67608,0.88256,0.89474,0.88889,0.9392,0.4472,1.71281,0.91323,0.90843,0.0012872,0.0012872,0.0012872
110,248.273,1.52655,0.66809,0.88525,0.88726,0.86508,0.91255,0.43517,1.7287,0.92074,0.91517,0.0012806,0.0012806,0.0012806
